文件名,资源名称,资源版本,此版本更新时间,Mod ID,对应平台工程 ID,文件大小（字节）,文件路径
ubesdelight-neoforge-1.21.1-0.4.14.jar,香芋乐事 (Ube's Delight),,2026/6/20 23:38:53,,PYjpoAys,957496,K:\.minecraft\versions\BadAeroPlay\mods\ubesdelight-neoforge-1.21.1-0.4.14.jar
tweakerge-0.4.3+mc1.21.1.jar,Tweakerge,,2026/4/23 16:17:43,,yke6wdGF,674125,K:\.minecraft\versions\BadAeroPlay\mods\tweakerge-0.4.3+mc1.21.1.jar
trashcans-1.0.18c-neoforge-mc1.21.jar,垃圾桶 (Trash Cans),,2024/11/10 22:36:28,,4QrnfueM,159808,K:\.minecraft\versions\BadAeroPlay\mods\trashcans-1.0.18c-neoforge-mc1.21.jar
tracks-neoforge-1.21.1-1.0.1.jar,Create: Tracks,,2026/4/23 2:05:33,,1519765,166455,K:\.minecraft\versions\BadAeroPlay\mods\tracks-neoforge-1.21.1-1.0.1.jar
touhoulittlemaid-1.5.3-neoforge+mc1.21.1.jar,车万女仆 (Touhou Little Maid),,2026/5/9 15:33:11,,R0bDWFAW,24408776,K:\.minecraft\versions\BadAeroPlay\mods\touhoulittlemaid-1.5.3-neoforge+mc1.21.1.jar
toofast-1.21.0-0.4.3.6.jar,Too Fast,,2025/7/28 10:09:28,,550678,3372,K:\.minecraft\versions\BadAeroPlay\mods\toofast-1.21.0-0.4.3.6.jar
toms_storage-1.21-2.4.1.jar,汤姆的简易存储 (Tom's Simple Storage Mod),,2026/7/25 1:17:11,,XZNI4Cpy,855813,K:\.minecraft\versions\BadAeroPlay\mods\toms_storage-1.21-2.4.1.jar
tipsmod-neoforge-1.21.1-21.1.3.jar,提示 (Tips),,2025/10/20 1:45:52,,AMCbgyVw,121037,K:\.minecraft\versions\BadAeroPlay\mods\tipsmod-neoforge-1.21.1-21.1.3.jar
tfmg-1.2.2.jar,机械动力：工业长路 (Create: Industry/Create: The Factory Must Grow),,2026/6/6 21:05:54,,693815,4986234,K:\.minecraft\versions\BadAeroPlay\mods\tfmg-1.2.2.jar
Terralith_1.21.1_v2.6.2_Neoforge.jar,Terralith,,2026/6/10 1:51:45,,8oi3bsk5,2814865,K:\.minecraft\versions\BadAeroPlay\mods\Terralith_1.21.1_v2.6.2_Neoforge.jar
synaxis-1.4.3.jar,Synaxis,,2026/7/11 21:51:09,,aJewFWOb,4373404,K:\.minecraft\versions\BadAeroPlay\mods\synaxis-1.4.3.jar
suppsquared-neoforge-1.21-1.2.18.jar,Supplementaries Squared,,2026/6/18 5:32:15,,dCCkNFwE,752062,K:\.minecraft\versions\BadAeroPlay\mods\suppsquared-neoforge-1.21-1.2.18.jar
supplementaries-neoforge-1.21.1-3.8.4.jar,锦致装饰 (Supplementaries),3.8.4,2026/7/25 2:19:27,,fFEIiSDQ,13465307,K:\.minecraft\versions\BadAeroPlay\mods\supplementaries-neoforge-1.21.1-3.8.4.jar
supermartijn642corelib-1.1.22-neoforge-mc1.21.jar,SuperMartijn642's Core Lib,,2026/7/28 21:32:53,,rOUBggPv,558466,K:\.minecraft\versions\BadAeroPlay\mods\supermartijn642corelib-1.1.22-neoforge-mc1.21.jar
supermartijn642configlib-1.1.8-neoforge-mc1.21.jar,SuperMartijn642's Config Lib,,2024/7/20 6:10:58,,LN9BxssP,207514,K:\.minecraft\versions\BadAeroPlay\mods\supermartijn642configlib-1.1.8-neoforge-mc1.21.jar
superbwarfare-0.8.9-final-mc1.21.1-9b5284f4.jar,卓越前线 (Superb Warfare),,2026/5/18 1:27:39,,Cd3DYqzn,31688244,K:\.minecraft\versions\BadAeroPlay\mods\superbwarfare-0.8.9-final-mc1.21.1-9b5284f4.jar
streetskubegui-neoforge-1.0.0.jar,KubeJS GUI Overhauled,,2026/6/24 20:43:52,,i8DkrJYa,191567,K:\.minecraft\versions\BadAeroPlay\mods\streetskubegui-neoforge-1.0.0.jar
storagedelight-26.07.01a-1.21-neoforge.jar,存储乐事 (Storage Delight),,2026/7/8 10:52:06,,LTTvOp5L,841065,K:\.minecraft\versions\BadAeroPlay\mods\storagedelight-26.07.01a-1.21-neoforge.jar
stabilized-1.0.2.jar,Create Aeronautics: Stabilized,,2026/6/21 6:02:49,,vRmgUJhP,100728,K:\.minecraft\versions\BadAeroPlay\mods\stabilized-1.0.2.jar
spearcore-2.0.42.0.4-neo-2.0.4.jar,Spear Core,2.0.4,2026/7/28 20:26:55,,V8rh24lv,314057,K:\.minecraft\versions\BadAeroPlay\mods\spearcore-2.0.42.0.4-neo-2.0.4.jar
spear-backport-neoforge-1.8.0-1.21.1.jar,Backported Spears,,2026/3/8 1:11:06,,rVUtrHuM,421287,K:\.minecraft\versions\BadAeroPlay\mods\spear-backport-neoforge-1.8.0-1.21.1.jar
sophisticatedstorage-1.21.1-1.5.83.2017.jar,精妙存储 (Sophisticated Storage),,2026/7/25 7:37:54,,619320,1828640,K:\.minecraft\versions\BadAeroPlay\mods\sophisticatedstorage-1.21.1-1.5.83.2017.jar
sophisticatedcore-1.21.1-1.4.80.2194.jar,精妙核心 (Sophisticated Core),,2026/7/25 7:20:34,,618298,1673669,K:\.minecraft\versions\BadAeroPlay\mods\sophisticatedcore-1.21.1-1.4.80.2194.jar
sophisticatedbackpacks-1.21.1-3.25.73.2020.jar,精妙背包 (Sophisticated Backpacks),,2026/7/25 7:28:53,,422301,1144238,K:\.minecraft\versions\BadAeroPlay\mods\sophisticatedbackpacks-1.21.1-3.25.73.2020.jar
somnia-ce-3.5.0.jar,梦醒时分：社区版 (Somnia: Community Edition),,2025/10/2 1:43:21,,DFCs8Mug,102735,K:\.minecraft\versions\BadAeroPlay\mods\somnia-ce-3.5.0.jar
