文件名,资源名称,资源版本,此版本更新时间,Mod ID,对应平台工程 ID,文件大小（字节）,文件路径
FTBQuestsOptimizer-neoforge-3.2.0-1.21.1.jar,FTB Quests Optimizer,,2026/2/8 10:28:38,,oPwMsrcf,18059,K:\.minecraft\versions\BadAeroPlay\mods\FTBQuestsOptimizer-neoforge-3.2.0-1.21.1.jar
ftb-xmod-compat-neoforge-21.1.10.jar,FTB XMod Compat,,2026/7/27 21:33:08,,889915,152024,K:\.minecraft\versions\BadAeroPlay\mods\ftb-xmod-compat-neoforge-21.1.10.jar
ftb-ultimine-neoforge-2101.1.15.jar,连锁破坏 (FTB Ultimine),,2026/6/11 20:02:29,,386134,177109,K:\.minecraft\versions\BadAeroPlay\mods\ftb-ultimine-neoforge-2101.1.15.jar
ftb-teams-neoforge-2101.1.10.jar,FTB 团队 (FTB Teams),,2026/4/5 16:31:58,,404468,302712,K:\.minecraft\versions\BadAeroPlay\mods\ftb-teams-neoforge-2101.1.10.jar
ftb-quests-neoforge-2101.1.29.jar,FTB 任务 (FTB Quests),,2026/7/30 0:12:50,,289412,1595992,K:\.minecraft\versions\BadAeroPlay\mods\ftb-quests-neoforge-2101.1.29.jar
ftb-library-neoforge-2101.1.34.jar,FTB Library (NeoForge),,2026/7/27 18:44:28,,404465,1439001,K:\.minecraft\versions\BadAeroPlay\mods\ftb-library-neoforge-2101.1.34.jar
ftb-jei-extras-21.1.7.jar,FTB JEI Extras,,2025/6/26 3:23:50,,1103259,69759,K:\.minecraft\versions\BadAeroPlay\mods\ftb-jei-extras-21.1.7.jar
ftb-filter-system-neoforge-21.1.4.jar,FTB Filter System,,2026/1/7 18:07:52,,943925,211671,K:\.minecraft\versions\BadAeroPlay\mods\ftb-filter-system-neoforge-21.1.4.jar
ftb-essentials-neoforge-2101.1.10.jar,FTB Essentials (Forge & Fabric),,2026/7/16 16:24:21,,410811,217288,K:\.minecraft\versions\BadAeroPlay\mods\ftb-essentials-neoforge-2101.1.10.jar
freecam-neoforge-1.3.0+mc1.21.jar,Freecam,,2025/3/26 17:01:37,,XeEZ3fK2,1137632,K:\.minecraft\versions\BadAeroPlay\mods\freecam-neoforge-1.3.0+mc1.21.jar
framework-neoforge-1.21.1-0.13.11.jar,Framework,,2026/1/26 22:04:19,,549225,387334,K:\.minecraft\versions\BadAeroPlay\mods\framework-neoforge-1.21.1-0.13.11.jar
FramedBlocks-10.6.1.jar,框架方块 (FramedBlocks),,2026/7/1 7:50:48,,wbgfS34j,4306703,K:\.minecraft\versions\BadAeroPlay\mods\FramedBlocks-10.6.1.jar
ForgeConfigAPIPort-v21.1.6-1.21.1-NeoForge.jar,Forge Config API Port,,2025/11/12 17:00:29,,ohNO6lps,104654,K:\.minecraft\versions\BadAeroPlay\mods\ForgeConfigAPIPort-v21.1.6-1.21.1-NeoForge.jar
fluidlogistics-1.2.5.jar,Create: FluidLogistic,1.2.5,2026/7/25 16:15:23,,g4AWLVIr,2030531,K:\.minecraft\versions\BadAeroPlay\mods\fluidlogistics-1.2.5.jar
Files JS-1.21.1-NeoForge-1.0.jar,FilesJS,,2025/7/11 23:29:34,,1156187,76676,K:\.minecraft\versions\BadAeroPlay\mods\Files JS-1.21.1-NeoForge-1.0.jar
ferritecore-7.0.3-neoforge.jar,铁氧体磁芯 (FerriteCore),,2026/1/25 20:59:45,,uXXizFIs,121559,K:\.minecraft\versions\BadAeroPlay\mods\ferritecore-7.0.3-neoforge.jar
fastboot-1.21.x-v1.3neo.jar,FastBoot,1.3.0,2025/9/15 13:27:37,fastboot,1030285,9085,K:\.minecraft\versions\BadAeroPlay\mods\fastboot-1.21.x-v1.3neo.jar
farmersknives-neoforge-1.21.1-4.2.0.jar,Farmer's Knives,,2026/4/16 10:43:45,,uc3VdfLM,91362,K:\.minecraft\versions\BadAeroPlay\mods\farmersknives-neoforge-1.21.1-4.2.0.jar
FarmersDelight-1.21.1-1.3.2.jar,农夫乐事 (Farmer's Delight),,2026/5/14 0:42:12,,R2OftAxM,3163042,K:\.minecraft\versions\BadAeroPlay\mods\FarmersDelight-1.21.1-1.3.2.jar
farmersdelight_extended-1.21.1-0.2.2.jar,Farmer's Delight: Extended,,2025/12/5 1:29:13,,CxjQ2P6f,142253,K:\.minecraft\versions\BadAeroPlay\mods\farmersdelight_extended-1.21.1-0.2.2.jar
fancymenu_neoforge_3.9.8_MC_1.21.1.jar,FancyMenu,,2026/7/16 4:53:47,,Wq5SjeWM,25505615,K:\.minecraft\versions\BadAeroPlay\mods\fancymenu_neoforge_3.9.8_MC_1.21.1.jar
fancy-entity-renderer-neoforge-1.21-0.4.8.jar,Fancy Entity Renderer,,2026/6/16 18:30:04,,RQ6INv2n,410490,K:\.minecraft\versions\BadAeroPlay\mods\fancy-entity-renderer-neoforge-1.21-0.4.8.jar
ExtraQuests-1.7.0-1.21.1-NeoForge.jar,ExtraQuests [FTB Quests],,2026/4/28 17:54:38,,rMvP0ujv,37332,K:\.minecraft\versions\BadAeroPlay\mods\ExtraQuests-1.7.0-1.21.1-NeoForge.jar
ExtraLib-3.0.11-1.21.1-NeoForge.jar,ExtraLib,,2026/6/26 16:18:11,,2GNqVOLH,8954979,K:\.minecraft\versions\BadAeroPlay\mods\ExtraLib-3.0.11-1.21.1-NeoForge.jar
extra_gauges-2.1.2.jar,机械动力：更多仪表 (Create: Extra Gauges),,2026/5/23 15:43:06,,6YJgomwt,1055930,K:\.minecraft\versions\BadAeroPlay\mods\extra_gauges-2.1.2.jar
ExtendedAE-1.21-2.2.35-neoforge.jar,AE2扩展 (ExtendedAE),,2026/7/26 17:17:41,,892005,5578031,K:\.minecraft\versions\BadAeroPlay\mods\ExtendedAE-1.21-2.2.35-neoforge.jar
exposure-neoforge-1.21.1-1.9.18.jar,拾光定影 (Exposure),,2026/6/10 5:07:48,,hB899VmG,2192415,K:\.minecraft\versions\BadAeroPlay\mods\exposure-neoforge-1.21.1-1.9.18.jar
exposure_polaroid-neoforge-1.21.1-1.1.6.jar,Exposure: Polaroid,,2026/7/29 20:55:02,,WEWiqYkW,361404,K:\.minecraft\versions\BadAeroPlay\mods\exposure_polaroid-neoforge-1.21.1-1.1.6.jar
exposure_expanded-neoforge-1.0.1.jar,Exposure: Expanded,,2025/9/4 0:34:24,,61XQmq6p,951304,K:\.minecraft\versions\BadAeroPlay\mods\exposure_expanded-neoforge-1.0.1.jar
exposure_catalog-neoforge-1.1.2.jar,Exposure Catalog,,2026/7/29 21:03:29,,PWcQ3kcp,149304,K:\.minecraft\versions\BadAeroPlay\mods\exposure_catalog-neoforge-1.1.2.jar
expandeddelight-0.1.4.jar,扩充乐事 (Expanded Delight),,2026/1/10 20:20:12,,e9V6wFcR,547554,K:\.minecraft\versions\BadAeroPlay\mods\expandeddelight-0.1.4.jar
entityculling-neoforge-1.10.5-mc1.21.1.jar,实体渲染机制优化 (Entity Culling),1.10.5,2026/6/20 22:41:50,entityculling,NNAgCjsB,1585287,K:\.minecraft\versions\BadAeroPlay\mods\entityculling-neoforge-1.10.5-mc1.21.1.jar
entity_texture_features_1.21-neoforge-7.1.jar,实体纹理特性 (Entity Texture Features),,2026/4/15 21:06:24,,BVzZfTc1,752334,K:\.minecraft\versions\BadAeroPlay\mods\entity_texture_features_1.21-neoforge-7.1.jar
entity_model_features-3.2.4-1.21-neoforge.jar,实体模型特性 (Entity Model Features),,2026/5/9 23:21:41,,4I1XuqiY,567827,K:\.minecraft\versions\BadAeroPlay\mods\entity_model_features-3.2.4-1.21-neoforge.jar
ends_delight-2.6.1+neoforge.1.21.1.jar,末地乐事 (End's Delight),,2026/6/28 22:34:05,,yHN0njMr,258124,K:\.minecraft\versions\BadAeroPlay\mods\ends_delight-2.6.1+neoforge.1.21.1.jar
endersdelight-1.3.0.jar,末影乐事 (Ender's Delight),,2026/5/5 14:01:06,,2uEhdGKt,152449,K:\.minecraft\versions\BadAeroPlay\mods\endersdelight-1.3.0.jar
electrodynamics-1.21.1-1.0.12.jar,电动力学 (Electrodynamics),,2026/7/17 22:40:05,,xmhmr70o,16338006,K:\.minecraft\versions\BadAeroPlay\mods\electrodynamics-1.21.1-1.0.12.jar
effortlessbuilding-4.2+1.21.1.jar,Effortless Building,4.2,2026/7/27 3:55:09,effortlessbuilding,DYtfQEYj,958842,K:\.minecraft\versions\BadAeroPlay\mods\effortlessbuilding-4.2+1.21.1.jar
e33chat-NeoForge-1.21.1-2.1.2.jar,E33Chat,2.1.2,2026/7/25 9:54:00,,onBSJreQ,168604,K:\.minecraft\versions\BadAeroPlay\mods\e33chat-NeoForge-1.21.1-2.1.2.jar
dynamicelectricity-1.21.1-1.2.1-0.jar,Dynamic Electricity,,2025/6/15 8:55:31,,gYqTAyBw,360332,K:\.minecraft\versions\BadAeroPlay\mods\dynamicelectricity-1.21.1-1.2.1-0.jar
dummmmmmy-neoforge-1.21-2.1.0.jar,试验假人 (MmmMmmMmmMmm / Target Dummy),,2026/7/26 11:06:02,,Adega8YN,214030,K:\.minecraft\versions\BadAeroPlay\mods\dummmmmmy-neoforge-1.21-2.1.0.jar
drivebywire-typewriter-1.1.0-beta.2.jar,Drive-By-Wire:Typewriter,,2026/7/1 1:45:30,,lDYpnxit,163273,K:\.minecraft\versions\BadAeroPlay\mods\drivebywire-typewriter-1.1.0-beta.2.jar
drivebywire-0.3.0.jar,Drive-By-Wire With Sable,,2026/6/14 20:37:29,,1520378,273144,K:\.minecraft\versions\BadAeroPlay\mods\drivebywire-0.3.0.jar
drivebywire-0.2.7.jar,Sable Drive-By-Wire TFMG engine controller support,,2026/5/13 0:48:58,,stUNbMf2,272922,K:\.minecraft\versions\BadAeroPlay\mods\drivebywire-0.2.7.jar
drivebypower-1.0.4.jar,Aeronautics: DriveByPower,,2026/5/8 0:46:32,,hjrZTffG,274175,K:\.minecraft\versions\BadAeroPlay\mods\drivebypower-1.0.4.jar
dragonlib-neoforge-1.21.1-beta-3.0.28.jar,DragonLib,,2026/6/1 2:47:26,,sbIsGaOV,2107270,K:\.minecraft\versions\BadAeroPlay\mods\dragonlib-neoforge-1.21.1-beta-3.0.28.jar
draggable_lists-mc1.20.6-1.0.8-build.44.jar,可拖动列表/可拖动资源包 (Draggable Lists/Draggable Resource Packs),1.0.8,2025/3/1 4:54:11,draggable_lists,aLcHfalx,97906,K:\.minecraft\versions\BadAeroPlay\mods\draggable_lists-mc1.20.6-1.0.8-build.44.jar
displaydelight-1.7.0.jar,Display Delight,,2026/6/14 1:02:48,,yXepZhp8,1144367,K:\.minecraft\versions\BadAeroPlay\mods\displaydelight-1.7.0.jar
directgpu-1.0.21-neoforge-1.21.1.jar,CC:DirectGPU,1.0.20-neoforge-1.21.1,2026/7/9 19:44:06,directgpu,y2LA8uQE,452643,K:\.minecraft\versions\BadAeroPlay\mods\directgpu-1.0.21-neoforge-1.21.1.jar
dg_js-1.21.1-1.2.3.jar,KubeJS Diesel Generators,,2026/7/15 2:54:56,,10UMLVgM,125254,K:\.minecraft\versions\BadAeroPlay\mods\dg_js-1.21.1-1.2.3.jar
deployer-0.1.2.jar,Create: Deployer API,,2026/4/25 17:07:46,,OZhUIuou,2010014,K:\.minecraft\versions\BadAeroPlay\mods\deployer-0.1.2.jar
deployer_got_dizzy-0.1.2.jar,Aeronautics:Deployer Direction Fix,,2026/5/16 2:37:10,,1544067,5406,K:\.minecraft\versions\BadAeroPlay\mods\deployer_got_dizzy-0.1.2.jar
delightlib-26.05.18-1.21-neoforge.jar,Delight Lib,,2026/5/19 8:32:08,,rmDY6fYt,59438,K:\.minecraft\versions\BadAeroPlay\mods\delightlib-26.05.18-1.21-neoforge.jar
delightfulcreators-1.2.jar,动力乐事 (Delightful Creators),1.2,2026/7/17 22:46:39,,jmJ87gsb,353802,K:\.minecraft\versions\BadAeroPlay\mods\delightfulcreators-1.2.jar
dashpanels-1.6+neoforge1.21.1.jar,Dashpanels,,2026/7/16 12:25:59,,xZJfGh82,555364,K:\.minecraft\versions\BadAeroPlay\mods\dashpanels-1.6+neoforge1.21.1.jar
dashpanels_expanded-1.3.0.jar,Dashpanels: Expanded,,2026/7/21 22:17:07,,gazFBp5k,142467,K:\.minecraft\versions\BadAeroPlay\mods\dashpanels_expanded-1.3.0.jar
CustomSkinLoader_Universal-15.0.1.jar,万用皮肤补丁 (CustomSkinLoader),15.0.1,2026/6/21 13:47:36,customskinloader-bootstrap,idMHQ4n2,218215,K:\.minecraft\versions\BadAeroPlay\mods\CustomSkinLoader_Universal-15.0.1.jar
curios-neoforge-9.5.1+1.21.1.jar,Curios API,,2025/5/14 21:34:49,,vvuO3ImH,410690,K:\.minecraft\versions\BadAeroPlay\mods\curios-neoforge-9.5.1+1.21.1.jar
cupboard-1.21.1-3.9.jar,Cupboard,,2026/7/22 1:37:30,,326652,28829,K:\.minecraft\versions\BadAeroPlay\mods\cupboard-1.21.1-3.9.jar
culturaldelights-0.17.8.jar,多元乐事 (Cultural Delights),,2026/5/22 13:44:07,,YttyNOFA,261247,K:\.minecraft\versions\BadAeroPlay\mods\culturaldelights-0.17.8.jar
CTM-1.21-1.2.1+3.jar,连接纹理 (ConnectedTexturesMod),,2024/8/2 1:39:38,,267602,240791,K:\.minecraft\versions\BadAeroPlay\mods\CTM-1.21-1.2.1+3.jar
cristellib-neoforge-1.21.1-3.1.7.jar,Cristel Lib,,2026/6/13 20:27:45,,cl223EMc,583525,K:\.minecraft\versions\BadAeroPlay\mods\cristellib-neoforge-1.21.1-3.1.7.jar
CreativeCore_NEOFORGE_v2.13.41_mc1.21.1.jar,CreativeCore,,2026/6/3 15:13:28,,OsZiaDHq,1218640,K:\.minecraft\versions\BadAeroPlay\mods\CreativeCore_NEOFORGE_v2.13.41_mc1.21.1.jar
createutilities-0.3.7+mc1.21.1.jar,Create Utilities (Unofficial Port),,2026/7/9 6:04:40,,8gamiD8q,373030,K:\.minecraft\versions\BadAeroPlay\mods\createutilities-0.3.7+mc1.21.1.jar
createthreadedtrains-neoforge-1.21.1-1.0.0.jar,Create: Threaded Trains,,2025/11/11 7:30:57,,RYJzdkDr,77249,K:\.minecraft\versions\BadAeroPlay\mods\createthreadedtrains-neoforge-1.21.1-1.0.0.jar
createschematicchecker-1.21.27-6.0-neoforge-1.21.1.jar,机械动力：蓝图校验 (Create: Schematic Checker),,2026/7/11 22:59:47,,ULzrAD1U,329543,K:\.minecraft\versions\BadAeroPlay\mods\createschematicchecker-1.21.27-6.0-neoforge-1.21.1.jar
createredstonelinkgui-1.21.1-1.9.2.jar,Create: Redstone Link GUI,,2026/7/22 5:24:56,,GhtD1QcW,243975,K:\.minecraft\versions\BadAeroPlay\mods\createredstonelinkgui-1.21.1-1.9.2.jar
createrailwaysnavigator-neoforge-1.21.1-beta-0.9.1-C6.jar,机械动力：铁路导航 (Create Railways Navigator),,2026/5/31 22:59:26,,Dq3STxps,2071249,K:\.minecraft\versions\BadAeroPlay\mods\createrailwaysnavigator-neoforge-1.21.1-beta-0.9.1-C6.jar
createpropulsion-1.1.5.jar,机械动力：推进工程 - 模拟物理 (Create Propulsion: Simulated),,2026/7/24 5:50:58,,ApkoHNO9,1707765,K:\.minecraft\versions\BadAeroPlay\mods\createpropulsion-1.1.5.jar
createprism-1.2.2.jar,机械动力：流光溢彩 (Create: Prismatic Shine),,2026/5/7 8:36:18,,udEtt0b2,1287223,K:\.minecraft\versions\BadAeroPlay\mods\createprism-1.2.2.jar
createoreexcavation-1.21-1.6.8.jar,机械动力：矿石开掘 (Create Ore Excavation),,2025/11/8 23:11:29,,ResbpANg,476990,K:\.minecraft\versions\BadAeroPlay\mods\createoreexcavation-1.21-1.6.8.jar
CreateNumismatics-1.0.20+neoforge-mc1.21.1.jar,Create: Numismatics,,2026/4/19 9:31:07,,Jdbbtt0i,693446,K:\.minecraft\versions\BadAeroPlay\mods\CreateNumismatics-1.0.20+neoforge-mc1.21.1.jar
createnuclear-1.3.2-beta.3-neoforge.jar,机械动力：原子核动 (Create Nuclear),,2025/12/14 2:03:01,,z611fdf7,1842160,K:\.minecraft\versions\BadAeroPlay\mods\createnuclear-1.3.2-beta.3-neoforge.jar
createmoremachines-1.21.1-2.7.jar,机械动力：更多机械 (Create More Machines),,2026/5/29 17:21:47,,1478956,2141416,K:\.minecraft\versions\BadAeroPlay\mods\createmoremachines-1.21.1-2.7.jar
createmetallurgy-1.0.3-1.21.1.jar,机械动力：冶金学 (Create: Metallurgy),,2026/5/23 0:10:37,,Soft45xC,2035560,K:\.minecraft\versions\BadAeroPlay\mods\createmetallurgy-1.0.3-1.21.1.jar
createfurnitureseats-4.8.42.jar,Furniture with create and sable compat,,2026/7/9 2:52:12,,W2K5jx3j,62737,K:\.minecraft\versions\BadAeroPlay\mods\createfurnitureseats-4.8.42.jar
createframed-1.21.1-1.8.2.jar,机械动力：多彩边框 (Create: Framed),,2026/7/9 0:18:16,,15fFZ3f4,2871366,K:\.minecraft\versions\BadAeroPlay\mods\createframed-1.21.1-1.8.2.jar
CreateFastSchematicCannon-1.4.1-neoforge-1.21.1.jar,机械动力：更快的蓝图加农炮 (Create: Fast Schematic Cannon),,2026/2/23 11:07:24,,DebMSCVn,74294,K:\.minecraft\versions\BadAeroPlay\mods\CreateFastSchematicCannon-1.4.1-neoforge-1.21.1.jar
CreateDragonsPlus-1.11.3.jar,机械动力：龙+ (Create: Dragons Plus),,2026/7/29 16:11:54,,dzb1a5WV,1027754,K:\.minecraft\versions\BadAeroPlay\mods\CreateDragonsPlus-1.11.3.jar
createdieselgenerators-1.21.1-1.3.14.jar,机械动力：柴油动力 (Create: Diesel Generators),1.3.14,2026/6/22 16:42:35,,ZM3tt6p1,3143118,K:\.minecraft\versions\BadAeroPlay\mods\createdieselgenerators-1.21.1-1.3.14.jar
createdeco-2.1.3.jar,Create Deco,,2026/4/18 11:51:39,,sMvUb4Rb,3328498,K:\.minecraft\versions\BadAeroPlay\mods\createdeco-2.1.3.jar
CreateCyberGoggles-1.21.1-8.2.1-NeoForge.jar,机械动力：赛博护目镜 (Create: Cyber Goggles),,2026/7/27 17:12:43,,TlQAWQCY,614860,K:\.minecraft\versions\BadAeroPlay\mods\CreateCyberGoggles-1.21.1-8.2.1-NeoForge.jar
createcontraptionterminals-1.21-1.3.0.jar,机械动力：动态终端 (Create Contraption Terminals),,2026/2/22 4:56:54,,gOPAFzp0,90967,K:\.minecraft\versions\BadAeroPlay\mods\createcontraptionterminals-1.21-1.3.0.jar
createcafe-1.4.3.jar,机械动力：咖啡馆 (Create Cafe),,2026/1/5 11:56:58,,O3hKBfwC,390889,K:\.minecraft\versions\BadAeroPlay\mods\createcafe-1.4.3.jar
createbigcannons-5.11.2-mc.1.21.1.jar,机械动力：火炮 (Create Big Cannons),,2026/6/23 6:26:12,,GWp4jCJj,3771506,K:\.minecraft\versions\BadAeroPlay\mods\createbigcannons-5.11.2-mc.1.21.1.jar
createbetterfps-1.21.1-1.1.4.jar,CreateBetterFps,,2026/4/20 0:25:33,,lMYIHZNH,26547,K:\.minecraft\versions\BadAeroPlay\mods\createbetterfps-1.21.1-1.1.4.jar
createaeronauticscurios-neoforge-1.21.1-2.1.jar,Create Aeronautics x Curios API Compat,2.1,2026/6/15 3:39:33,,1532334,43934,K:\.minecraft\versions\BadAeroPlay\mods\createaeronauticscurios-neoforge-1.21.1-2.1.jar
CreateAeronauticsCopycatWing-1.21.1-1.0.2.jar,Create Aeronautics: Copycat Wing,,2026/6/8 17:44:06,,1530305,98186,K:\.minecraft\versions\BadAeroPlay\mods\CreateAeronauticsCopycatWing-1.21.1-1.0.2.jar
createadditionallogistics-1.21.1-1.4.5.jar,机械动力：物流附加 (Create: Additional Logistics),,2026/1/15 3:56:55,,CZaz7aje,953230,K:\.minecraft\versions\BadAeroPlay\mods\createadditionallogistics-1.21.1-1.4.5.jar
createaddition-1.6.0.jar,机械动力：创想附加 (Create Crafts & Additions),,2026/6/3 5:53:52,,kU1G12Nn,1661802,K:\.minecraft\versions\BadAeroPlay\mods\createaddition-1.6.0.jar
create-stuff-additions1.21.1_v2.1.4a.jar,机械动力：物品附加 (Create Stuff 'N Additions),2.0.9,2026/6/22 0:46:42,create_sa,aq9qUUQG,1344545,K:\.minecraft\versions\BadAeroPlay\mods\create-stuff-additions1.21.1_v2.1.4a.jar
create-new-age-1.2.0+neoforge-mc1.21.1.jar,机械动力：电气时代 (Create: New Age),,2026/6/8 15:57:10,,FTeXqI9v,1644485,K:\.minecraft\versions\BadAeroPlay\mods\create-new-age-1.2.0+neoforge-mc1.21.1.jar
create-integrated-farming-1.2.6.jar,机械动力：集成农业 (Create: Integrated Farming),,2026/6/10 13:16:07,,9k1pAsfR,438847,K:\.minecraft\versions\BadAeroPlay\mods\create-integrated-farming-1.2.6.jar
create-hangars-V1.0.0.jar,Create: Hangars (Aeronautics),,2026/4/27 17:08:49,,en3HEaOT,483973,K:\.minecraft\versions\BadAeroPlay\mods\create-hangars-V1.0.0.jar
create-enchantment-industry-2.5.0-preview-alpha1.jar,机械动力：附魔工业 (Create: Enchantment Industry),,2026/6/15 10:54:40,,JWGBpFUP,1559350,K:\.minecraft\versions\BadAeroPlay\mods\create-enchantment-industry-2.5.0-preview-alpha1.jar
create-confectionery1.21.1_v1.1.3b.jar,机械动力：甜食 (Create Confectionery),1.1.0,2026/5/9 21:44:55,create_confectionery,531834,2127265,K:\.minecraft\versions\BadAeroPlay\mods\create-confectionery1.21.1_v1.1.3b.jar
create-aeronautics-tournament-0.0.1.jar,Create Aeronautics: Tournament,,2026/4/21 18:24:59,,cBLjBt5l,74088,K:\.minecraft\versions\BadAeroPlay\mods\create-aeronautics-tournament-0.0.1.jar
create-aeronautics-bundled-1.21.1-1.3.0.jar,机械动力：航空学 (Create: Aeronautics),,2026/6/13 11:13:25,,oWaK0Q19,33120013,K:\.minecraft\versions\BadAeroPlay\mods\create-aeronautics-bundled-1.21.1-1.3.0.jar
create-1.21.1-6.0.10.jar,机械动力 (Create),,2026/4/22 6:20:03,,LNytGWDc,19123767,K:\.minecraft\versions\BadAeroPlay\mods\create-1.21.1-6.0.10.jar
create_waystones_recipes-3.0.1.jar,Create Waystones Recipes,,2025/6/2 16:32:05,,1086710,106083,K:\.minecraft\versions\BadAeroPlay\mods\create_waystones_recipes-3.0.1.jar
create_vibrant_vaults-0.3.2.jar,机械动力：炫彩金库 (Create: Vibrant Vaults),,2025/4/26 1:44:10,,hddN8ksR,2687938,K:\.minecraft\versions\BadAeroPlay\mods\create_vibrant_vaults-0.3.2.jar
create_tweaked_controllers-1.21.1-1.2.7.jar,机械动力：高级遥控器 (Create: Tweaked Controllers),1.20.1-1.2.7,2026/4/21 5:31:53,create_tweaked_controllers,H6bJ8Ju4,303343,K:\.minecraft\versions\BadAeroPlay\mods\create_tweaked_controllers-1.21.1-1.2.7.jar
create_things_and_misc-4.1.1-neoforge-1.21.1.jar,机械动力：实用物件 (Create : Misc & Things),4.1.1,2026/5/30 19:42:16,create_things_and_misc,uWrs8XlB,1055815,K:\.minecraft\versions\BadAeroPlay\mods\create_things_and_misc-4.1.1-neoforge-1.21.1.jar
create_submarine-2.2.4.jar,Create Deep Seas,,2026/6/18 4:02:53,,mva5q4qZ,1869296,K:\.minecraft\versions\BadAeroPlay\mods\create_submarine-2.2.4.jar
create_structures_arise-176.49.48 NeoForge 1.21.1.jar,Create: Structures Arise,,2026/5/24 23:27:38,,9enMEvoc,1817379,K:\.minecraft\versions\BadAeroPlay\mods\create_structures_arise-176.49.48 NeoForge 1.21.1.jar
create_simulated_additions-0.2.3-neoforge-1.21.1.jar,Create Simulated Additions,,2026/6/9 23:03:30,,rlv7S1aF,696072,K:\.minecraft\versions\BadAeroPlay\mods\create_simulated_additions-0.2.3-neoforge-1.21.1.jar
create_rustic_structures-1.0.1-neoforge-1.21.1.jar,机械动力：乡村结构 (Create: Rustic Structures),,2026/5/21 15:16:17,,lmbZMkEZ,758491,K:\.minecraft\versions\BadAeroPlay\mods\create_rustic_structures-1.0.1-neoforge-1.21.1.jar
create_rns-1.1.2-1.21.1-6.jar,Create: Rock & Stone,,2026/4/9 17:06:52,,wy2arhik,590050,K:\.minecraft\versions\BadAeroPlay\mods\create_rns-1.1.2-1.21.1-6.jar
create_ratatouille-1.21.1-1.4.0.jar,机械动力：齿轮与麦穗 (Create: Ratatouille),,2026/7/10 19:31:19,,XM0ifg8q,918946,K:\.minecraft\versions\BadAeroPlay\mods\create_ratatouille-1.21.1-1.4.0.jar
create_radar-0.4.9.4-1.21.1.jar,机械动力：雷达 (Create: Radars),,2026/6/11 1:55:35,,BLu2Yqfq,2990812,K:\.minecraft\versions\BadAeroPlay\mods\create_radar-0.4.9.4-1.21.1.jar
create_power_loader-2.0.5-mc1.21.1.jar,机械动力：动力加载器 (Create: Power Loader),,2026/5/22 16:06:33,,wPQ6GgFE,442369,K:\.minecraft\versions\BadAeroPlay\mods\create_power_loader-2.0.5-mc1.21.1.jar
create_pocket_factory-0.1.6.jar,Create: Pocket Factory,,2026/5/21 15:48:49,,Vc0nsPBg,1025790,K:\.minecraft\versions\BadAeroPlay\mods\create_pocket_factory-0.1.6.jar
create_optical-0.4.2.jar,机械动力：光学 (Create Optical),,2026/5/4 11:31:13,,kcZ7kwxx,8003762,K:\.minecraft\versions\BadAeroPlay\mods\create_optical-0.4.2.jar
create_more_catalysts-1.2.3-mc1.21.1-neoforge.jar,机械动力：更多触媒 (Create：More Catalysts),,2026/5/11 9:30:45,,Wpu9rbVF,527568,K:\.minecraft\versions\BadAeroPlay\mods\create_more_catalysts-1.2.3-mc1.21.1-neoforge.jar
create_mobile_packages-1.21.1-0.7.7.jar,机械动力：无人机物流 (Create: Mobile Packages),,2026/7/25 4:46:37,,1vXRfEHZ,605614,K:\.minecraft\versions\BadAeroPlay\mods\create_mobile_packages-1.21.1-0.7.7.jar
create_mekanism_compat-0.1.21.jar,Create Aeronautics: Mekanism Compatibility,,2026/6/22 20:30:47,,4TghD0jp,139829,K:\.minecraft\versions\BadAeroPlay\mods\create_mekanism_compat-0.1.21.jar
create_fantasizing-1.21.1-1.2.0-b2.jar,机械动力：又在幻想了 (Create: Fantasizing Again),,2026/7/12 11:33:31,,UvrmqS41,632817,K:\.minecraft\versions\BadAeroPlay\mods\create_fantasizing-1.21.1-1.2.0-b2.jar
create_factory-0.7a-1.21.1.jar,Create: Factory,,2026/5/15 21:31:21,,j6Zt3N7W,211171,K:\.minecraft\versions\BadAeroPlay\mods\create_factory-0.7a-1.21.1.jar
create_easy_structures-0.2a-neoforge-1.21.1.jar,Create: Easy Structures,0.2,2025/3/25 21:57:17,create_easy_structures,z69Pxatv,469490,K:\.minecraft\versions\BadAeroPlay\mods\create_easy_structures-0.2a-neoforge-1.21.1.jar
create_connected-1.3.2-mc1.21.1.jar,机械动力：创意传动 (Create: Connected),,2026/6/22 18:21:16,,Vg5TIO6d,6779410,K:\.minecraft\versions\BadAeroPlay\mods\create_connected-1.3.2-mc1.21.1.jar
create_compact_transmission-1.0.7.jar,Create: Compact Transmission,,2026/6/14 2:24:48,,qBkvR8oH,171997,K:\.minecraft\versions\BadAeroPlay\mods\create_compact_transmission-1.0.7.jar
Create_Bugfix_Schematic_Patch-1.1.4.jar,机械动力：蓝图补丁 (Create Bugfix: Schematic Patch),,2025/10/7 17:57:59,,E7HuZiWj,369591,K:\.minecraft\versions\BadAeroPlay\mods\Create_Bugfix_Schematic_Patch-1.1.4.jar
create_bb-1.0.7-1.21.1-Neoforge.jar,Create: Blocks & Bogies,,2026/1/17 9:44:28,,j4ARnQwY,2613213,K:\.minecraft\versions\BadAeroPlay\mods\create_bb-1.0.7-1.21.1-Neoforge.jar
